Cust_num,Region,Age,Order_Quantity,Customer_Type,Improvement_Area,Overall_Satisfaction
173,NORTH,52,13,Non_Prime,Product Quality,0
174,SOUTH,23,92,Prime,Website UI,1
175,WEST,69,39,Prime,Product Quality,0
176,SOUTH,24,39,Prime,Website UI,1
177,EAST,56,6,Prime,Product Quality,0
178,SOUTH,39,9,Prime,Packing & Shipping,0
179,NORTH,60,30,Prime,Product Quality,0
180,SOUTH,24,54,Prime,Website UI,1
181,NORTH,35,61,Prime,Website UI,1
182,WEST,46,9,Non_Prime,Packing & Shipping,0
183,SOUTH,38,31,Non_Prime,Product Quality,0
184,SOUTH,19,33,Prime,Packing & Shipping,1
185,SOUTH,40,81,Prime,Website UI,1
186,SOUTH,39,9,Non_Prime,Packing & Shipping,0
187,WEST,66,10,Prime,Packing & Shipping,0
188,WEST,32,65,Prime,Website UI,1
189,NORTH,27,80,Prime,Packing & Shipping,1
190,NORTH,45,11,Prime,Website UI,0
191,SOUTH,19,84,Prime,Packing & Shipping,1
192,EAST,58,11,Prime,Website UI,0
193,EAST,18,47,Prime,Packing & Shipping,0
194,WEST,39,37,Prime,Packing & Shipping,0
195,WEST,67,35,Prime,Website UI,1
196,NORTH,64,31,Non_Prime,Website UI,0
197,EAST,55,5,Non_Prime,Website UI,1
198,SOUTH,50,37,Non_Prime,Product Quality,0
199,SOUTH,67,40,Non_Prime,Product Quality,0
200,SOUTH,33,62,Prime,Packing & Shipping,1
201,NORTH,55,7,Non_Prime,Website UI,1
202,NORTH,41,37,Prime,Packing & Shipping,1
203,NORTH,37,27,Prime,Packing & Shipping,0
204,WEST,24,62,Prime,Website UI,0
205,SOUTH,21,96,Prime,Packing & Shipping,0
206,WEST,31,63,Non_Prime,Product Quality,1
207,NORTH,40,33,Prime,Packing & Shipping,1
208,EAST,36,91,Non_Prime,Product Quality,1
209,NORTH,23,68,Prime,Website UI,1
210,EAST,69,5,Non_Prime,Product Quality,0
211,NORTH,32,98,Prime,Website UI,1
212,NORTH,42,41,Prime,Website UI,1
213,NORTH,24,72,Prime,Packing & Shipping,1
214,NORTH,42,15,Prime,Product Quality,0
215,NORTH,42,73,Prime,Website UI,1
216,NORTH,21,72,Prime,Website UI,1
217,SOUTH,32,17,Prime,Packing & Shipping,0
218,WEST,55,19,Prime,Packing & Shipping,0
219,EAST,56,35,Prime,Packing & Shipping,0
220,WEST,67,26,Prime,Packing & Shipping,0
221,NORTH,48,21,Prime,Website UI,0
222,EAST,36,92,Non_Prime,Website UI,1
223,WEST,29,36,Prime,Website UI,1
224,NORTH,56,14,Non_Prime,Packing & Shipping,0
225,SOUTH,22,80,Prime,Packing & Shipping,1
226,NORTH,64,36,Prime,Product Quality,0
227,EAST,23,72,Prime,Website UI,1
228,NORTH,35,33,Non_Prime,Product Quality,0
229,SOUTH,19,55,Prime,Website UI,1
230,SOUTH,42,45,Prime,Website UI,1
231,SOUTH,22,66,Prime,Product Quality,1
232,EAST,40,69,Prime,Packing & Shipping,1
233,WEST,35,66,Prime,Website UI,1
234,WEST,22,38,Non_Prime,Product Quality,1
235,SOUTH,26,58,Prime,Packing & Shipping,1
236,SOUTH,46,40,Non_Prime,Packing & Shipping,0
237,SOUTH,46,36,Prime,Website UI,0
238,SOUTH,41,100,Prime,Packing & Shipping,1
239,WEST,35,16,Non_Prime,Website UI,0
240,WEST,56,27,Non_Prime,Website UI,0
241,WEST,25,52,Non_Prime,Website UI,1
242,WEST,55,6,Non_Prime,Website UI,0
243,SOUTH,33,31,Non_Prime,Website UI,0
244,NORTH,62,29,Non_Prime,Product Quality,0
245,EAST,33,92,Prime,Product Quality,1
246,WEST,49,5,Non_Prime,Product Quality,0
247,NORTH,18,83,Prime,Website UI,1
248,EAST,33,92,Non_Prime,Product Quality,1
249,WEST,44,19,Non_Prime,Website UI,0
250,SOUTH,52,36,Non_Prime,Packing & Shipping,0
251,NORTH,70,18,Non_Prime,Product Quality,0
252,NORTH,45,39,Prime,Product Quality,1
253,EAST,55,22,Prime,Website UI,0
254,WEST,54,6,Non_Prime,Website UI,0
255,EAST,41,35,Non_Prime,Website UI,0
256,NORTH,42,83,Non_Prime,Website UI,1
257,NORTH,42,84,Prime,Product Quality,1
258,EAST,55,26,Non_Prime,Product Quality,0
259,NORTH,39,8,Non_Prime,Packing & Shipping,0
260,SOUTH,24,89,Non_Prime,Website UI,1
261,NORTH,55,24,Prime,Packing & Shipping,0
262,WEST,48,9,Prime,Product Quality,0
263,WEST,58,28,Non_Prime,Product Quality,0
264,WEST,56,14,Prime,Website UI,0
265,NORTH,43,33,Prime,Product Quality,0
266,WEST,38,78,Prime,Product Quality,1
267,NORTH,63,23,Non_Prime,Product Quality,0
268,NORTH,69,35,Prime,Packing & Shipping,0
269,SOUTH,43,88,Prime,Product Quality,1
270,EAST,35,97,Prime,Packing & Shipping,1
271,SOUTH,19,30,Non_Prime,Packing & Shipping,1
272,SOUTH,46,8,Prime,Packing & Shipping,0
273,WEST,41,84,Prime,Website UI,1
274,WEST,33,81,Non_Prime,Product Quality,1
275,NORTH,56,39,Non_Prime,Website UI,0
276,EAST,64,20,Non_Prime,Packing & Shipping,0
277,WEST,29,85,Prime,Packing & Shipping,1
278,NORTH,38,97,Prime,Packing & Shipping,1
279,NORTH,40,63,Prime,Website UI,1
280,SOUTH,39,35,Non_Prime,Product Quality,0
281,WEST,61,20,Non_Prime,Packing & Shipping,0
282,WEST,47,37,Non_Prime,Product Quality,0
283,WEST,45,76,Prime,Packing & Shipping,1
284,EAST,19,94,Prime,Product Quality,1
285,WEST,37,15,Non_Prime,Packing & Shipping,0
286,WEST,47,34,Prime,Product Quality,0
287,WEST,60,13,Prime,Product Quality,0
288,NORTH,24,83,Prime,Product Quality,1
289,NORTH,24,60,Non_Prime,Product Quality,1
290,SOUTH,31,38,Prime,Product Quality,1
291,NORTH,30,25,Non_Prime,Product Quality,0
292,NORTH,64,35,Prime,Packing & Shipping,0
293,SOUTH,36,58,Prime,Packing & Shipping,1
294,WEST,37,11,Prime,Website UI,0
295,SOUTH,32,47,Prime,Website UI,1
296,NORTH,59,27,Prime,Website UI,0
297,WEST,59,30,Prime,Website UI,0
298,EAST,64,22,Non_Prime,Product Quality,0
299,SOUTH,70,31,Prime,Website UI,0
300,SOUTH,26,31,Prime,Website UI,1
301,NORTH,19,32,Prime,Product Quality,1
302,SOUTH,37,33,Prime,Packing & Shipping,0
303,WEST,30,20,Prime,Product Quality,0
304,SOUTH,27,89,Non_Prime,Packing & Shipping,1
305,SOUTH,60,31,Prime,Packing & Shipping,0
306,SOUTH,37,60,Non_Prime,Packing & Shipping,1
307,NORTH,34,76,Prime,Product Quality,1
308,SOUTH,20,70,Prime,Website UI,1
309,WEST,49,16,Prime,Website UI,0
310,SOUTH,53,21,Non_Prime,Website UI,0
311,SOUTH,25,40,Prime,Product Quality,1
312,NORTH,37,54,Prime,Product Quality,1
313,NORTH,47,13,Non_Prime,Website UI,0
314,EAST,20,30,Prime,Website UI,1
315,NORTH,31,51,Prime,Packing & Shipping,1
316,NORTH,48,14,Prime,Packing & Shipping,0
317,WEST,32,40,Non_Prime,Product Quality,0
318,NORTH,40,15,Non_Prime,Website UI,0
319,SOUTH,30,9,Non_Prime,Website UI,0
320,WEST,48,25,Prime,Website UI,0
321,SOUTH,45,53,Non_Prime,Product Quality,1
322,NORTH,38,37,Prime,Website UI,1
323,EAST,63,24,Non_Prime,Product Quality,0
324,NORTH,35,41,Prime,Website UI,1
325,WEST,63,19,Prime,Website UI,0
326,EAST,24,62,Prime,Website UI,1
327,WEST,55,15,Non_Prime,Product Quality,0
328,SOUTH,65,17,Non_Prime,Product Quality,0
329,WEST,60,10,Non_Prime,Website UI,0
330,SOUTH,24,84,Prime,Website UI,1
331,SOUTH,46,39,Prime,Website UI,0
332,WEST,33,11,Prime,Packing & Shipping,0
333,NORTH,41,41,Prime,Packing & Shipping,1
334,NORTH,48,17,Prime,Website UI,0
335,EAST,53,30,Prime,Website UI,0
336,WEST,41,31,Non_Prime,Packing & Shipping,0
337,SOUTH,44,44,Prime,Website UI,1
338,WEST,47,33,Non_Prime,Website UI,0
339,WEST,60,33,Prime,Product Quality,0
340,WEST,33,55,Prime,Product Quality,1
341,NORTH,38,47,Prime,Product Quality,1
342,SOUTH,41,73,Non_Prime,Packing & Shipping,1
343,SOUTH,24,74,Prime,Website UI,1
344,SOUTH,40,27,Non_Prime,Packing & Shipping,0
345,WEST,23,32,Prime,Website UI,1
346,SOUTH,57,5,Prime,Website UI,0
347,SOUTH,66,9,Non_Prime,Website UI,0
348,EAST,40,30,Prime,Website UI,0
349,WEST,51,35,Non_Prime,Packing & Shipping,0
350,EAST,27,83,Non_Prime,Packing & Shipping,1
351,EAST,43,28,Prime,Product Quality,0
352,WEST,34,6,Prime,Packing & Shipping,0
353,SOUTH,28,45,Prime,Packing & Shipping,1
354,WEST,20,46,Non_Prime,Packing & Shipping,1
355,NORTH,55,33,Prime,Packing & Shipping,0
356,WEST,23,82,Non_Prime,Product Quality,1
357,SOUTH,46,29,Non_Prime,Packing & Shipping,0
358,WEST,23,86,Prime,Website UI,1
359,NORTH,42,35,Prime,Website UI,0
360,NORTH,40,27,Non_Prime,Website UI,0
361,NORTH,45,100,Prime,Website UI,1
362,NORTH,20,44,Non_Prime,Product Quality,1
363,WEST,50,11,Prime,Website UI,0
364,EAST,26,53,Prime,Packing & Shipping,1
365,NORTH,31,69,Non_Prime,Product Quality,1
366,WEST,26,68,Prime,Website UI,1
367,WEST,63,27,Non_Prime,Product Quality,0
368,EAST,47,33,Non_Prime,Packing & Shipping,0
369,WEST,68,38,Non_Prime,Product Quality,0
370,NORTH,65,29,Non_Prime,Product Quality,0
371,NORTH,31,92,Prime,Website UI,1
372,NORTH,44,8,Non_Prime,Packing & Shipping,0
373,SOUTH,30,90,Prime,Packing & Shipping,1
374,NORTH,31,35,Prime,Product Quality,0
375,EAST,31,17,Prime,Product Quality,0
376,SOUTH,60,19,Non_Prime,Packing & Shipping,0
377,WEST,21,78,Prime,Product Quality,1
378,WEST,49,24,Non_Prime,Packing & Shipping,0
379,WEST,28,33,Prime,Product Quality,1
380,SOUTH,41,52,Non_Prime,Website UI,1
381,NORTH,33,35,Non_Prime,Website UI,0
382,SOUTH,31,24,Non_Prime,Website UI,0
383,SOUTH,60,40,Non_Prime,Website UI,0
384,EAST,38,38,Prime,Product Quality,1
385,NORTH,30,52,Prime,Product Quality,1
386,NORTH,33,10,Non_Prime,Packing & Shipping,0
387,EAST,47,28,Non_Prime,Product Quality,0
388,WEST,31,57,Prime,Website UI,1
389,WEST,27,98,Prime,Product Quality,1
390,WEST,68,6,Non_Prime,Website UI,0
391,NORTH,28,41,Prime,Website UI,1
392,SOUTH,36,39,Prime,Product Quality,0
393,NORTH,42,65,Prime,Website UI,1
394,EAST,56,36,Prime,Website UI,0
395,NORTH,48,18,Non_Prime,Packing & Shipping,0
396,SOUTH,67,11,Non_Prime,Website UI,0
397,NORTH,40,7,Non_Prime,Website UI,0
398,NORTH,45,8,Non_Prime,Packing & Shipping,0
399,NORTH,61,17,Prime,Product Quality,0
400,EAST,34,85,Prime,Packing & Shipping,1
401,NORTH,42,48,Prime,Product Quality,1
402,WEST,54,24,Prime,Packing & Shipping,0
403,WEST,43,35,Non_Prime,Product Quality,1
404,SOUTH,40,14,Non_Prime,Product Quality,0
405,SOUTH,42,20,Non_Prime,Website UI,0
406,SOUTH,39,14,Prime,Packing & Shipping,0
407,EAST,46,11,Prime,Website UI,0
408,EAST,34,26,Non_Prime,Website UI,0
409,SOUTH,52,15,Non_Prime,Product Quality,0
410,SOUTH,65,14,Prime,Packing & Shipping,0
411,NORTH,30,94,Non_Prime,Product Quality,1
412,SOUTH,55,11,Non_Prime,Packing & Shipping,0
413,NORTH,36,17,Non_Prime,Packing & Shipping,0
414,NORTH,42,43,Non_Prime,Website UI,1
415,WEST,34,30,Prime,Product Quality,0
416,WEST,44,64,Prime,Website UI,1
417,NORTH,45,18,Non_Prime,Packing & Shipping,0
418,WEST,38,29,Non_Prime,Website UI,0
419,NORTH,30,71,Non_Prime,Website UI,1
420,SOUTH,63,5,Prime,Packing & Shipping,0
421,SOUTH,25,35,Prime,Website UI,1
422,WEST,55,22,Non_Prime,Packing & Shipping,0
423,NORTH,31,22,Prime,Packing & Shipping,0
424,SOUTH,36,82,Prime,Packing & Shipping,1
425,WEST,56,7,Non_Prime,Product Quality,0
426,NORTH,66,23,Prime,Packing & Shipping,0
427,EAST,49,31,Prime,Website UI,0
428,WEST,36,57,Prime,Website UI,1
429,SOUTH,22,45,Prime,Packing & Shipping,1
430,NORTH,33,65,Prime,Packing & Shipping,1
431,NORTH,61,28,Non_Prime,Packing & Shipping,0
432,SOUTH,30,14,Non_Prime,Product Quality,0
433,WEST,68,15,Non_Prime,Packing & Shipping,0
434,NORTH,31,15,Non_Prime,Website UI,0
435,WEST,51,23,Non_Prime,Packing & Shipping,0
436,SOUTH,45,78,Prime,Product Quality,1
437,SOUTH,51,37,Prime,Website UI,0
438,WEST,45,7,Prime,Product Quality,0
439,NORTH,32,37,Non_Prime,Packing & Shipping,0
440,NORTH,31,12,Non_Prime,Packing & Shipping,0
441,SOUTH,48,28,Prime,Product Quality,0
442,WEST,36,33,Prime,Packing & Shipping,1
443,NORTH,69,38,Non_Prime,Packing & Shipping,0
444,NORTH,69,14,Non_Prime,Website UI,0
445,EAST,68,38,Non_Prime,Packing & Shipping,0
446,EAST,48,22,Non_Prime,Product Quality,0
447,WEST,38,47,Prime,Product Quality,1
448,WEST,58,30,Non_Prime,Website UI,0
449,WEST,32,65,Prime,Website UI,1
450,WEST,69,24,Prime,Product Quality,0
451,NORTH,39,7,Non_Prime,Packing & Shipping,0
452,SOUTH,40,38,Non_Prime,Packing & Shipping,0
453,WEST,56,37,Non_Prime,Product Quality,0
454,WEST,46,26,Prime,Packing & Shipping,0
455,SOUTH,64,24,Non_Prime,Packing & Shipping,0
456,SOUTH,18,94,Prime,Packing & Shipping,1
457,SOUTH,21,94,Prime,Website UI,1
458,SOUTH,60,11,Non_Prime,Website UI,0
459,SOUTH,43,51,Prime,Product Quality,1
460,SOUTH,59,13,Non_Prime,Website UI,0
461,EAST,44,15,Prime,Website UI,0
462,WEST,30,20,Prime,Packing & Shipping,0
463,EAST,32,88,Prime,Packing & Shipping,1
464,NORTH,41,69,Non_Prime,Product Quality,1
465,NORTH,24,56,Non_Prime,Website UI,1
466,WEST,55,25,Non_Prime,Product Quality,0
467,NORTH,21,80,Prime,Packing & Shipping,1
468,WEST,28,45,Prime,Packing & Shipping,1
469,SOUTH,68,31,Prime,Product Quality,0
470,SOUTH,45,98,Prime,Packing & Shipping,1
471,SOUTH,56,30,Non_Prime,Packing & Shipping,0
472,SOUTH,33,63,Non_Prime,Product Quality,1
473,EAST,19,35,Prime,Packing & Shipping,1
474,NORTH,56,26,Prime,Packing & Shipping,0
475,SOUTH,32,70,Prime,Packing & Shipping,1
476,NORTH,40,74,Prime,Product Quality,1
477,NORTH,32,38,Non_Prime,Website UI,0
478,NORTH,40,93,Prime,Packing & Shipping,1
479,SOUTH,65,28,Non_Prime,Packing & Shipping,0
480,NORTH,63,9,Prime,Product Quality,0
481,WEST,29,76,Prime,Packing & Shipping,1
482,NORTH,45,77,Non_Prime,Product Quality,1
483,SOUTH,37,38,Non_Prime,Packing & Shipping,0
484,EAST,69,15,Prime,Website UI,0
485,NORTH,44,22,Non_Prime,Product Quality,0
486,NORTH,46,26,Non_Prime,Website UI,0
487,NORTH,50,14,Prime,Product Quality,0
488,WEST,45,51,Prime,Product Quality,1
489,WEST,30,37,Non_Prime,Packing & Shipping,0
490,EAST,60,6,Non_Prime,Product Quality,0
491,SOUTH,43,50,Prime,Packing & Shipping,1
492,NORTH,47,40,Non_Prime,Product Quality,0
493,SOUTH,19,83,Prime,Product Quality,1
494,EAST,41,30,Non_Prime,Packing & Shipping,1
495,NORTH,37,16,Non_Prime,Product Quality,0
496,WEST,49,22,Non_Prime,Product Quality,0
497,EAST,51,10,Prime,Packing & Shipping,0
498,SOUTH,36,27,Non_Prime,Product Quality,0
499,NORTH,66,18,Non_Prime,Packing & Shipping,0
500,EAST,41,75,Prime,Product Quality,1
501,WEST,28,87,Prime,Website UI,1
502,EAST,32,45,Prime,Website UI,1
503,WEST,45,26,Prime,Product Quality,0
504,NORTH,41,10,Non_Prime,Product Quality,0
505,SOUTH,37,22,Non_Prime,Packing & Shipping,0
506,EAST,51,20,Non_Prime,Packing & Shipping,0
507,SOUTH,42,33,Non_Prime,Website UI,0
508,WEST,36,62,Prime,Packing & Shipping,1
509,NORTH,24,82,Prime,Website UI,1
510,WEST,44,15,Non_Prime,Website UI,0
511,SOUTH,26,61,Prime,Product Quality,1
512,SOUTH,26,52,Prime,Website UI,1
513,WEST,57,5,Non_Prime,Product Quality,0
514,NORTH,65,24,Prime,Product Quality,0
515,NORTH,41,26,Prime,Website UI,0
516,NORTH,20,42,Prime,Website UI,1
517,SOUTH,25,38,Prime,Packing & Shipping,1
518,EAST,38,30,Non_Prime,Packing & Shipping,0
519,NORTH,41,9,Non_Prime,Website UI,0
520,SOUTH,19,94,Prime,Product Quality,1
521,SOUTH,43,15,Prime,Website UI,0
522,WEST,41,40,Prime,Product Quality,0
523,WEST,31,13,Prime,Website UI,0
524,WEST,36,15,Prime,Website UI,0
525,WEST,44,22,Non_Prime,Website UI,0
526,SOUTH,67,19,Non_Prime,Website UI,0
527,NORTH,34,22,Non_Prime,Packing & Shipping,0
528,SOUTH,34,51,Prime,Packing & Shipping,1
529,SOUTH,63,15,Non_Prime,Packing & Shipping,0
530,EAST,52,13,Non_Prime,Packing & Shipping,0
531,SOUTH,43,12,Non_Prime,Product Quality,0
532,EAST,60,17,Non_Prime,Website UI,0
533,WEST,56,17,Non_Prime,Website UI,0
534,SOUTH,22,34,Prime,Packing & Shipping,1
535,WEST,22,59,Prime,Packing & Shipping,1
536,NORTH,55,24,Non_Prime,Website UI,0
537,NORTH,20,79,Prime,Website UI,1
538,SOUTH,31,36,Non_Prime,Website UI,0
539,WEST,25,37,Non_Prime,Website UI,1
540,WEST,39,88,Prime,Product Quality,1
541,SOUTH,28,82,Non_Prime,Packing & Shipping,1
542,WEST,53,32,Prime,Packing & Shipping,0
543,WEST,45,30,Prime,Website UI,0
544,NORTH,65,28,Prime,Website UI,0
545,WEST,42,27,Non_Prime,Packing & Shipping,0
546,NORTH,38,32,Non_Prime,Packing & Shipping,0
547,NORTH,30,44,Prime,Packing & Shipping,1
548,SOUTH,43,85,Prime,Packing & Shipping,1
549,SOUTH,68,15,Prime,Website UI,0
550,NORTH,35,54,Prime,Packing & Shipping,1
551,WEST,41,9,Non_Prime,Product Quality,0
552,SOUTH,61,36,Non_Prime,Website UI,0
553,SOUTH,46,5,Non_Prime,Product Quality,0
554,SOUTH,35,30,Non_Prime,Product Quality,0
555,EAST,48,16,Prime,Packing & Shipping,0
556,SOUTH,32,33,Non_Prime,Website UI,0
557,NORTH,36,19,Prime,Website UI,0
558,WEST,30,54,Prime,Product Quality,1
559,EAST,49,10,Prime,Product Quality,0
